Timestamp,CPU_Total%,GPU_Total%,RAM_Used_GB,RAM_Total_GB,Power_Total_mW,Temp_GPU_C,Temp_CPU_C
23:40:24,0.0,56.3,0.00,0.00,0,0,0
23:40:25,0.0,64.3,0.00,0.00,0,0,0
23:40:26,0.0,27.4,0.00,0.00,0,0,0
23:40:27,0.0,6.1,0.00,0.00,0,0,0
23:40:28,0.0,33.6,0.00,0.00,0,0,0
23:40:29,0.0,0.0,0.00,0.00,0,0,0
23:40:30,0.0,0.0,0.00,0.00,0,0,0
23:40:31,0.0,0.0,0.00,0.00,0,0,0
23:40:32,0.0,0.0,0.00,0.00,0,0,0
23:40:33,0.0,0.0,0.00,0.00,0,0,0
23:40:34,0.0,0.0,0.00,0.00,0,0,0
23:40:35,0.0,0.0,0.00,0.00,0,0,0
23:40:36,0.0,0.0,0.00,0.00,0,0,0
23:40:37,0.0,3.5,0.00,0.00,0,0,0
23:40:38,0.0,20.7,0.00,0.00,0,0,0
23:40:39,0.0,49.8,0.00,0.00,0,0,0
23:40:40,0.0,49.2,0.00,0.00,0,0,0
23:40:41,0.0,70.3,0.00,0.00,0,0,0
23:40:42,0.0,32.3,0.00,0.00,0,0,0
23:40:43,0.0,77.6,0.00,0.00,0,0,0
23:40:44,0.0,39.3,0.00,0.00,0,0,0
23:40:45,0.0,8.9,0.00,0.00,0,0,0
23:40:46,0.0,36.6,0.00,0.00,0,0,0
23:40:47,0.0,73.3,0.00,0.00,0,0,0
23:40:48,0.0,47.3,0.00,0.00,0,0,0
23:40:49,0.0,67.0,0.00,0.00,0,0,0
23:40:50,0.0,53.0,0.00,0.00,0,0,0
23:40:51,0.0,10.8,0.00,0.00,0,0,0
23:40:52,0.0,18.1,0.00,0.00,0,0,0
23:40:53,0.0,56.2,0.00,0.00,0,0,0
23:40:54,0.0,32.1,0.00,0.00,0,0,0
23:40:55,0.0,54.5,0.00,0.00,0,0,0
23:40:56,0.0,64.2,0.00,0.00,0,0,0
23:40:57,0.0,25.1,0.00,0.00,0,0,0
23:40:58,0.0,7.9,0.00,0.00,0,0,0
23:40:59,0.0,25.6,0.00,0.00,0,0,0
23:41:00,0.0,24.2,0.00,0.00,0,0,0
23:41:01,0.0,60.1,0.00,0.00,0,0,0
23:41:02,0.0,77.0,0.00,0.00,0,0,0
23:41:03,0.0,37.8,0.00,0.00,0,0,0
23:41:04,0.0,62.5,0.00,0.00,0,0,0
23:41:05,0.0,40.6,0.00,0.00,0,0,0
23:41:06,0.0,8.6,0.00,0.00,0,0,0
23:41:07,0.0,49.4,0.00,0.00,0,0,0
23:41:08,0.0,74.8,0.00,0.00,0,0,0
23:41:09,0.0,48.6,0.00,0.00,0,0,0
23:41:10,0.0,77.2,0.00,0.00,0,0,0
23:41:11,0.0,50.5,0.00,0.00,0,0,0
23:41:12,0.0,7.5,0.00,0.00,0,0,0
23:41:13,0.0,39.0,0.00,0.00,0,0,0
23:41:14,0.0,9.2,0.00,0.00,0,0,0
23:41:15,0.0,37.4,0.00,0.00,0,0,0
23:41:16,0.0,75.8,0.00,0.00,0,0,0
23:41:17,0.0,62.3,0.00,0.00,0,0,0
23:41:18,0.0,21.6,0.00,0.00,0,0,0
23:41:19,0.0,48.8,0.00,0.00,0,0,0
23:41:20,0.0,25.2,0.00,0.00,0,0,0
23:41:21,0.0,25.5,0.00,0.00,0,0,0
23:41:22,0.0,61.3,0.00,0.00,0,0,0
23:41:23,0.0,76.1,0.00,0.00,0,0,0
23:41:24,0.0,36.9,0.00,0.00,0,0,0
23:41:25,0.0,61.6,0.00,0.00,0,0,0
23:41:26,0.0,18.3,0.00,0.00,0,0,0
23:41:27,0.0,8.9,0.00,0.00,0,0,0
23:41:28,0.0,50.1,0.00,0.00,0,0,0
23:41:29,0.0,71.9,0.00,0.00,0,0,0
23:41:30,0.0,48.8,0.00,0.00,0,0,0
23:41:31,0.0,77.3,0.00,0.00,0,0,0
23:41:32,0.0,37.3,0.00,0.00,0,0,0
23:41:33,0.0,7.5,0.00,0.00,0,0,0
23:41:34,0.0,39.4,0.00,0.00,0,0,0
23:41:35,0.0,8.9,0.00,0.00,0,0,0
23:41:36,0.0,41.5,0.00,0.00,0,0,0
23:41:37,0.0,75.1,0.00,0.00,0,0,0
23:41:38,0.0,47.1,0.00,0.00,0,0,0
23:41:39,0.0,20.9,0.00,0.00,0,0,0
23:41:40,0.0,49.0,0.00,0.00,0,0,0
23:41:41,0.0,7.6,0.00,0.00,0,0,0
23:41:42,0.0,25.0,0.00,0.00,0,0,0
23:41:43,0.0,61.1,0.00,0.00,0,0,0
23:41:44,0.0,59.6,0.00,0.00,0,0,0
23:41:45,0.0,36.8,0.00,0.00,0,0,0
23:41:46,0.0,61.2,0.00,0.00,0,0,0
23:41:47,0.0,18.8,0.00,0.00,0,0,0
23:41:48,0.0,9.6,0.00,0.00,0,0,0
23:41:49,0.0,50.2,0.00,0.00,0,0,0
23:41:50,0.0,70.5,0.00,0.00,0,0,0
23:41:51,0.0,48.8,0.00,0.00,0,0,0
23:41:52,0.0,76.2,0.00,0.00,0,0,0
23:41:53,0.0,36.2,0.00,0.00,0,0,0
23:41:54,0.0,4.7,0.00,0.00,0,0,0
23:41:55,0.0,40.4,0.00,0.00,0,0,0
23:41:56,0.0,10.4,0.00,0.00,0,0,0
23:41:57,0.0,51.5,0.00,0.00,0,0,0
23:41:58,0.0,76.6,0.00,0.00,0,0,0
23:41:59,0.0,45.9,0.00,0.00,0,0,0
23:42:00,0.0,5.1,0.00,0.00,0,0,0
23:42:01,0.0,48.1,0.00,0.00,0,0,0
23:42:02,0.0,6.3,0.00,0.00,0,0,0
23:42:03,0.0,39.3,0.00,0.00,0,0,0
23:42:04,0.0,59.4,0.00,0.00,0,0,0
23:42:05,0.0,61.7,0.00,0.00,0,0,0
23:42:06,0.0,22.3,0.00,0.00,0,0,0
23:42:07,0.0,66.5,0.00,0.00,0,0,0
23:42:08,0.0,28.0,0.00,0.00,0,0,0
23:42:09,0.0,19.3,0.00,0.00,0,0,0
23:42:10,0.0,44.9,0.00,0.00,0,0,0
23:42:11,0.0,79.2,0.00,0.00,0,0,0
23:42:12,0.0,44.0,0.00,0.00,0,0,0
23:42:13,0.0,76.6,0.00,0.00,0,0,0
23:42:14,0.0,47.2,0.00,0.00,0,0,0
23:42:15,0.0,6.1,0.00,0.00,0,0,0
23:42:16,0.0,27.0,0.00,0.00,0,0,0
23:42:17,0.0,60.7,0.00,0.00,0,0,0
23:42:18,0.0,37.1,0.00,0.00,0,0,0
23:42:19,0.0,56.3,0.00,0.00,0,0,0
23:42:20,0.0,63.6,0.00,0.00,0,0,0
23:42:21,0.0,25.6,0.00,0.00,0,0,0
23:42:22,0.0,6.3,0.00,0.00,0,0,0
23:42:23,0.0,47.6,0.00,0.00,0,0,0
23:42:24,0.0,16.4,0.00,0.00,0,0,0
23:42:25,0.0,52.3,0.00,0.00,0,0,0
23:42:26,0.0,78.1,0.00,0.00,0,0,0
23:42:27,0.0,46.4,0.00,0.00,0,0,0
23:42:28,0.0,5.0,0.00,0.00,0,0,0
23:42:29,0.0,27.7,0.00,0.00,0,0,0
23:42:30,0.0,7.2,0.00,0.00,0,0,0
23:42:31,0.0,37.7,0.00,0.00,0,0,0
23:42:32,0.0,56.0,0.00,0.00,0,0,0
23:42:33,0.0,62.9,0.00,0.00,0,0,0
23:42:34,0.0,26.1,0.00,0.00,0,0,0
23:42:35,0.0,5.6,0.00,0.00,0,0,0
23:42:36,0.0,31.9,0.00,0.00,0,0,0
23:42:37,0.0,14.7,0.00,0.00,0,0,0
